feature_method,degree,n_components,gamma,accuracy_validation,accuracy_train,precision_validation,recall_validation,f1_validation,precision_train,recall_train,f1_train,C,penalty,random_state
polynomial,3,10,0.5,0.764,0.9049531459170014,0.5348837209302325,0.3709677419354839,0.4380952380952381,0.963963963963964,0.6149425287356322,0.7508771929824561,0.01,l2,42
polynomial,3,5,0.5,0.764,0.9049531459170014,0.5348837209302325,0.3709677419354839,0.4380952380952381,0.963963963963964,0.6149425287356322,0.7508771929824561,0.01,l2,42
polynomial,3,10,0.1,0.764,0.9049531459170014,0.5348837209302325,0.3709677419354839,0.4380952380952381,0.963963963963964,0.6149425287356322,0.7508771929824561,0.01,l2,42
polynomial,3,5,0.1,0.764,0.9049531459170014,0.5348837209302325,0.3709677419354839,0.4380952380952381,0.963963963963964,0.6149425287356322,0.7508771929824561,0.01,l2,42
Linear,1,10,0.5,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,10.0,l2,42
Linear,1,5,0.5,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,10.0,l2,42
Linear,1,10,0.1,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,10.0,l2,42
Linear,1,5,0.1,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,10.0,l2,42
Linear,1,5,0.1,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,100.0,l2,42
Linear,1,10,0.1,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,100.0,l2,42
Linear,1,5,0.5,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,100.0,l2,42
Linear,1,10,0.5,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,100.0,l2,42
Linear,1,10,0.5,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,100.0,l2,42
Linear,1,5,0.5,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,100.0,l2,42
Linear,1,10,0.1,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,100.0,l2,42
Linear,1,5,0.1,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,100.0,l2,42
Linear,1,5,0.1,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,10.0,l2,42
Linear,1,10,0.1,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,10.0,l2,42
Linear,1,5,0.5,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,10.0,l2,42
Linear,1,10,0.5,0.792,0.8152610441767069,0.6785714285714286,0.3064516129032258,0.4222222222222222,0.7307692307692307,0.3275862068965517,0.4523809523809524,10.0,l2,42
polynomial,2,5,0.1,0.756,0.8647925033467202,0.5121951219512195,0.3387096774193548,0.4077669902912621,0.8411214953271028,0.5172413793103449,0.6405693950177936,0.1,l2,42
polynomial,2,10,0.1,0.756,0.8647925033467202,0.5121951219512195,0.3387096774193548,0.4077669902912621,0.8411214953271028,0.5172413793103449,0.6405693950177936,0.1,l2,42
polynomial,2,5,0.5,0.756,0.8647925033467202,0.5121951219512195,0.3387096774193548,0.4077669902912621,0.8411214953271028,0.5172413793103449,0.6405693950177936,0.1,l2,42
polynomial,2,10,0.5,0.756,0.8647925033467202,0.5121951219512195,0.3387096774193548,0.4077669902912621,0.8411214953271028,0.5172413793103449,0.6405693950177936,0.1,l2,42
Linear,1,5,0.1,0.788,0.8139223560910308,0.6666666666666666,0.2903225806451613,0.4044943820224719,0.7333333333333333,0.3160919540229885,0.44176706827309237,1.0,l2,42
Linear,1,10,0.1,0.788,0.8139223560910308,0.6666666666666666,0.2903225806451613,0.4044943820224719,0.7333333333333333,0.3160919540229885,0.44176706827309237,1.0,l2,42
Linear,1,5,0.5,0.788,0.8139223560910308,0.6666666666666666,0.2903225806451613,0.4044943820224719,0.7333333333333333,0.3160919540229885,0.44176706827309237,1.0,l2,42
Linear,1,10,0.5,0.788,0.8139223560910308,0.6666666666666666,0.2903225806451613,0.4044943820224719,0.7333333333333333,0.3160919540229885,0.44176706827309237,1.0,l2,42
Linear,1,10,0.5,0.788,0.8139223560910308,0.6666666666666666,0.2903225806451613,0.4044943820224719,0.7333333333333333,0.3160919540229885,0.44176706827309237,1.0,l2,42
Linear,1,5,0.5,0.788,0.8139223560910308,0.6666666666666666,0.2903225806451613,0.4044943820224719,0.7333333333333333,0.3160919540229885,0.44176706827309237,1.0,l2,42
Linear,1,10,0.1,0.788,0.8139223560910308,0.6666666666666666,0.2903225806451613,0.4044943820224719,0.7333333333333333,0.3160919540229885,0.44176706827309237,1.0,l2,42
