accuracy_validation,accuracy_train,precision_validation,recall_validation,f1_validation,precision_train,recall_train,f1_train,activation,alpha,hidden_layer_sizes,learning_rate_init
0.728,0.9732262382864793,0.4482758620689655,0.41935483870967744,0.43333333333333335,0.9425287356321839,0.9425287356321839,0.9425287356321839,relu,0.001,"(15, 15)",0.01
0.78,0.8406961178045516,0.6,0.3387096774193548,0.4329896907216495,0.8160919540229885,0.40804597701149425,0.5440613026819924,relu,1.0,"(15,)",0.001
0.76,0.8594377510040161,0.525,0.3387096774193548,0.4117647058823529,0.8285714285714286,0.5,0.6236559139784946,relu,1.0,"(15,)",0.01
0.712,0.9692101740294511,0.4166666666666667,0.4032258064516129,0.4098360655737705,0.968944099378882,0.896551724137931,0.9313432835820895,relu,0.01,"(15, 15)",0.01
0.768,0.8473895582329317,0.5555555555555556,0.3225806451612903,0.40816326530612246,0.7941176470588235,0.46551724137931033,0.5869565217391305,relu,1.0,"(20,)",0.01
0.72,0.9491298527443106,0.42857142857142855,0.3870967741935484,0.4067796610169492,0.9047619047619048,0.8735632183908046,0.8888888888888888,relu,0.0001,"(15, 15)",0.01
0.672,0.9879518072289156,0.3684210526315789,0.45161290322580644,0.4057971014492754,0.9824561403508771,0.9655172413793104,0.9739130434782609,tanh,0.0001,"(15, 15)",0.001
0.672,0.9879518072289156,0.3684210526315789,0.45161290322580644,0.4057971014492754,0.9824561403508771,0.9655172413793104,0.9739130434782609,tanh,0.001,"(15, 15)",0.001
0.716,0.9451137884872824,0.42105263157894735,0.3870967741935484,0.40336134453781514,0.934640522875817,0.8218390804597702,0.8746177370030581,relu,0.01,"(20,)",0.001
0.736,0.9531459170013387,0.4583333333333333,0.3548387096774194,0.4,0.9664429530201343,0.8275862068965517,0.891640866873065,relu,0.1,"(20,)",0.01
0.696,0.9678714859437751,0.390625,0.4032258064516129,0.3968253968253968,0.9807692307692307,0.8793103448275862,0.9272727272727272,tanh,0.1,"(15,)",0.01
0.708,0.9879518072289156,0.4067796610169492,0.3870967741935484,0.39669421487603307,0.9824561403508771,0.9655172413793104,0.9739130434782609,relu,0.001,"(15, 15)",0.001
0.744,0.8942436412315931,0.4772727272727273,0.3387096774193548,0.39622641509433965,0.8625954198473282,0.6494252873563219,0.740983606557377,relu,1.0,"(15, 15)",0.001
0.664,0.9839357429718876,0.35526315789473684,0.43548387096774194,0.391304347826087,0.9821428571428571,0.9482758620689655,0.9649122807017544,tanh,0.01,"(15, 15)",0.001
0.66,0.9799196787148594,0.35064935064935066,0.43548387096774194,0.38848920863309355,0.9877300613496932,0.9252873563218391,0.9554896142433235,tanh,0.1,"(15, 15)",0.001
0.7,0.9250334672021419,0.3898305084745763,0.3709677419354839,0.38016528925619836,0.9097222222222222,0.7528735632183908,0.8238993710691824,relu,0.1,"(15,)",0.01
0.692,0.9745649263721553,0.3770491803278688,0.3709677419354839,0.37398373983739835,0.9874213836477987,0.9022988505747126,0.9429429429429429,relu,0.001,"(20,)",0.001
0.692,0.9491298527443106,0.3770491803278688,0.3709677419354839,0.37398373983739835,0.9657534246575342,0.8103448275862069,0.88125,relu,0.0001,"(20,)",0.001
0.704,0.9598393574297188,0.39285714285714285,0.3548387096774194,0.3728813559322034,0.9390243902439024,0.8850574712643678,0.9112426035502958,relu,0.1,"(15, 15)",0.001
0.704,0.9531459170013387,0.39285714285714285,0.3548387096774194,0.3728813559322034,0.9426751592356688,0.8505747126436781,0.8942598187311178,relu,0.01,"(20,)",0.01
0.724,0.9129852744310576,0.425531914893617,0.3225806451612903,0.3669724770642202,0.8978102189781022,0.7068965517241379,0.7909967845659164,tanh,1.0,"(15, 15)",0.001
0.696,0.9879518072289156,0.3793103448275862,0.3548387096774194,0.36666666666666664,0.9881656804733728,0.9597701149425287,0.9737609329446064,relu,0.01,"(15, 15)",0.001
0.704,0.9906291834002677,0.3888888888888889,0.3387096774193548,0.3620689655172414,0.9940828402366864,0.9655172413793104,0.9795918367346939,relu,0.0001,"(15, 15)",0.001
