feature_method,degree,n_components,gamma,accuracy,precision,recall,f1_score,C
Linear,1,5,0.1,0.752,0.0,0.0,0.0,0.001
Linear,1,10,0.1,0.752,0.0,0.0,0.0,0.001
Linear,1,5,0.5,0.752,0.0,0.0,0.0,0.001
Linear,1,10,0.5,0.752,0.0,0.0,0.0,0.001
polynomial,2,5,0.1,0.752,0.0,0.0,0.0,0.001
polynomial,2,10,0.1,0.752,0.0,0.0,0.0,0.001
polynomial,2,5,0.5,0.752,0.0,0.0,0.0,0.001
polynomial,2,10,0.5,0.752,0.0,0.0,0.0,0.001
pca,1,5,0.1,0.752,0.0,0.0,0.0,0.001
pca,1,10,0.1,0.752,0.0,0.0,0.0,0.001
pca,1,5,0.5,0.752,0.0,0.0,0.0,0.001
pca,1,10,0.5,0.752,0.0,0.0,0.0,0.001
rbf,1,5,0.1,0.752,0.0,0.0,0.0,0.001
rbf,1,10,0.1,0.752,0.0,0.0,0.0,0.001
rbf,1,5,0.5,0.752,0.0,0.0,0.0,0.001
rbf,1,10,0.5,0.752,0.0,0.0,0.0,0.001
Linear,1,5,0.1,0.752,0.0,0.0,0.0,0.001
Linear,1,10,0.1,0.752,0.0,0.0,0.0,0.001
Linear,1,5,0.5,0.752,0.0,0.0,0.0,0.001
Linear,1,10,0.5,0.752,0.0,0.0,0.0,0.001
polynomial,3,5,0.1,0.752,0.0,0.0,0.0,0.001
polynomial,3,10,0.1,0.752,0.0,0.0,0.0,0.001
polynomial,3,5,0.5,0.752,0.0,0.0,0.0,0.001
polynomial,3,10,0.5,0.752,0.0,0.0,0.0,0.001
pca,1,5,0.1,0.752,0.0,0.0,0.0,0.001
pca,1,10,0.1,0.752,0.0,0.0,0.0,0.001
pca,1,5,0.5,0.752,0.0,0.0,0.0,0.001
pca,1,10,0.5,0.752,0.0,0.0,0.0,0.001
rbf,1,5,0.1,0.752,0.0,0.0,0.0,0.001
rbf,1,10,0.1,0.752,0.0,0.0,0.0,0.001
rbf,1,5,0.5,0.752,0.0,0.0,0.0,0.001
rbf,1,10,0.5,0.752,0.0,0.0,0.0,0.001
Linear,1,5,0.1,0.752,0.0,0.0,0.0,0.01
Linear,1,10,0.1,0.752,0.0,0.0,0.0,0.01
Linear,1,5,0.5,0.752,0.0,0.0,0.0,0.01
Linear,1,10,0.5,0.752,0.0,0.0,0.0,0.01
polynomial,2,5,0.1,0.752,0.0,0.0,0.0,0.01
polynomial,2,10,0.1,0.752,0.0,0.0,0.0,0.01
polynomial,2,5,0.5,0.752,0.0,0.0,0.0,0.01
polynomial,2,10,0.5,0.752,0.0,0.0,0.0,0.01
pca,1,5,0.1,0.752,0.0,0.0,0.0,0.01
pca,1,10,0.1,0.752,0.0,0.0,0.0,0.01
pca,1,5,0.5,0.752,0.0,0.0,0.0,0.01
pca,1,10,0.5,0.752,0.0,0.0,0.0,0.01
rbf,1,5,0.1,0.752,0.0,0.0,0.0,0.01
rbf,1,10,0.1,0.752,0.0,0.0,0.0,0.01
rbf,1,5,0.5,0.752,0.0,0.0,0.0,0.01
rbf,1,10,0.5,0.752,0.0,0.0,0.0,0.01
Linear,1,5,0.1,0.752,0.0,0.0,0.0,0.01
Linear,1,10,0.1,0.752,0.0,0.0,0.0,0.01
Linear,1,5,0.5,0.752,0.0,0.0,0.0,0.01
Linear,1,10,0.5,0.752,0.0,0.0,0.0,0.01
polynomial,3,5,0.1,0.752,0.0,0.0,0.0,0.01
polynomial,3,10,0.1,0.752,0.0,0.0,0.0,0.01
polynomial,3,5,0.5,0.752,0.0,0.0,0.0,0.01
polynomial,3,10,0.5,0.752,0.0,0.0,0.0,0.01
pca,1,5,0.1,0.752,0.0,0.0,0.0,0.01
pca,1,10,0.1,0.752,0.0,0.0,0.0,0.01
pca,1,5,0.5,0.752,0.0,0.0,0.0,0.01
pca,1,10,0.5,0.752,0.0,0.0,0.0,0.01
rbf,1,5,0.1,0.752,0.0,0.0,0.0,0.01
rbf,1,10,0.1,0.752,0.0,0.0,0.0,0.01
rbf,1,5,0.5,0.752,0.0,0.0,0.0,0.01
rbf,1,10,0.5,0.752,0.0,0.0,0.0,0.01
Linear,1,5,0.1,0.752,0.0,0.0,0.0,0.1
Linear,1,10,0.1,0.752,0.0,0.0,0.0,0.1
Linear,1,5,0.5,0.752,0.0,0.0,0.0,0.1
Linear,1,10,0.5,0.752,0.0,0.0,0.0,0.1
polynomial,2,5,0.1,0.752,0.0,0.0,0.0,0.1
polynomial,2,10,0.1,0.752,0.0,0.0,0.0,0.1
polynomial,2,5,0.5,0.752,0.0,0.0,0.0,0.1
polynomial,2,10,0.5,0.752,0.0,0.0,0.0,0.1
pca,1,5,0.1,0.752,0.0,0.0,0.0,0.1
pca,1,10,0.1,0.752,0.0,0.0,0.0,0.1
pca,1,5,0.5,0.752,0.0,0.0,0.0,0.1
pca,1,10,0.5,0.752,0.0,0.0,0.0,0.1
rbf,1,5,0.1,0.752,0.0,0.0,0.0,0.1
rbf,1,10,0.1,0.752,0.0,0.0,0.0,0.1
rbf,1,5,0.5,0.752,0.0,0.0,0.0,0.1
rbf,1,10,0.5,0.752,0.0,0.0,0.0,0.1
Linear,1,5,0.1,0.752,0.0,0.0,0.0,0.1
Linear,1,10,0.1,0.752,0.0,0.0,0.0,0.1
