feature_method,degree,n_components,gamma,accuracy,precision,recall,f1_score,C
polynomial,2,10,0.5,0.76,0.5238095238095238,0.3548387096774194,0.4230769230769231,0.01
polynomial,2,5,0.5,0.76,0.5238095238095238,0.3548387096774194,0.4230769230769231,0.01
polynomial,2,10,0.1,0.76,0.5238095238095238,0.3548387096774194,0.4230769230769231,0.01
polynomial,2,5,0.1,0.76,0.5238095238095238,0.3548387096774194,0.4230769230769231,0.01
polynomial,3,10,0.5,0.76,0.5238095238095238,0.3548387096774194,0.4230769230769231,0.001
polynomial,3,5,0.5,0.76,0.5238095238095238,0.3548387096774194,0.4230769230769231,0.001
polynomial,3,10,0.1,0.76,0.5238095238095238,0.3548387096774194,0.4230769230769231,0.001
polynomial,3,5,0.1,0.76,0.5238095238095238,0.3548387096774194,0.4230769230769231,0.001
polynomial,3,10,0.1,0.668,0.3561643835616438,0.41935483870967744,0.3851851851851852,0.1
polynomial,3,10,0.5,0.668,0.3561643835616438,0.41935483870967744,0.3851851851851852,0.1
polynomial,3,5,0.1,0.668,0.3561643835616438,0.41935483870967744,0.3851851851851852,0.1
polynomial,3,5,0.5,0.668,0.3561643835616438,0.41935483870967744,0.3851851851851852,0.1
polynomial,3,10,0.1,0.636,0.32941176470588235,0.45161290322580644,0.38095238095238093,10.0
polynomial,3,5,0.5,0.636,0.32941176470588235,0.45161290322580644,0.38095238095238093,10.0
polynomial,3,10,0.5,0.636,0.32941176470588235,0.45161290322580644,0.38095238095238093,10.0
polynomial,3,5,0.1,0.636,0.32941176470588235,0.45161290322580644,0.38095238095238093,10.0
polynomial,3,10,0.5,0.66,0.3466666666666667,0.41935483870967744,0.3795620437956204,1.0
polynomial,3,5,0.5,0.66,0.3466666666666667,0.41935483870967744,0.3795620437956204,1.0
polynomial,3,10,0.1,0.66,0.3466666666666667,0.41935483870967744,0.3795620437956204,1.0
polynomial,3,5,0.1,0.66,0.3466666666666667,0.41935483870967744,0.3795620437956204,1.0
polynomial,2,10,0.5,0.712,0.4074074074074074,0.3548387096774194,0.3793103448275862,0.1
polynomial,2,10,0.1,0.712,0.4074074074074074,0.3548387096774194,0.3793103448275862,0.1
polynomial,3,10,0.5,0.712,0.4074074074074074,0.3548387096774194,0.3793103448275862,0.01
polynomial,3,10,0.1,0.712,0.4074074074074074,0.3548387096774194,0.3793103448275862,0.01
polynomial,2,5,0.1,0.712,0.4074074074074074,0.3548387096774194,0.3793103448275862,0.1
polynomial,3,5,0.1,0.712,0.4074074074074074,0.3548387096774194,0.3793103448275862,0.01
polynomial,3,5,0.5,0.712,0.4074074074074074,0.3548387096774194,0.3793103448275862,0.01
polynomial,2,5,0.5,0.712,0.4074074074074074,0.3548387096774194,0.3793103448275862,0.1
polynomial,2,10,0.1,0.688,0.3709677419354839,0.3709677419354839,0.3709677419354839,1.0
polynomial,2,5,0.5,0.688,0.3709677419354839,0.3709677419354839,0.3709677419354839,1.0
polynomial,2,10,0.5,0.688,0.3709677419354839,0.3709677419354839,0.3709677419354839,1.0
polynomial,2,5,0.1,0.688,0.3709677419354839,0.3709677419354839,0.3709677419354839,1.0
polynomial,3,5,0.5,0.628,0.3176470588235294,0.43548387096774194,0.3673469387755102,100.0
polynomial,3,5,0.1,0.628,0.3176470588235294,0.43548387096774194,0.3673469387755102,100.0
polynomial,3,10,0.1,0.628,0.3176470588235294,0.43548387096774194,0.3673469387755102,100.0
polynomial,3,10,0.5,0.628,0.3176470588235294,0.43548387096774194,0.3673469387755102,100.0
polynomial,2,10,0.1,0.652,0.3287671232876712,0.3870967741935484,0.35555555555555557,100.0
polynomial,2,5,0.1,0.652,0.3287671232876712,0.3870967741935484,0.35555555555555557,100.0
polynomial,2,10,0.5,0.652,0.3287671232876712,0.3870967741935484,0.35555555555555557,100.0
polynomial,2,5,0.5,0.652,0.3287671232876712,0.3870967741935484,0.35555555555555557,100.0
rbf,1,5,0.1,0.72,0.41304347826086957,0.3064516129032258,0.35185185185185186,100.0
rbf,1,10,0.1,0.72,0.41304347826086957,0.3064516129032258,0.35185185185185186,100.0
rbf,1,10,0.1,0.72,0.41304347826086957,0.3064516129032258,0.35185185185185186,100.0
rbf,1,5,0.1,0.72,0.41304347826086957,0.3064516129032258,0.35185185185185186,100.0
polynomial,2,5,0.1,0.648,0.3194444444444444,0.3709677419354839,0.34328358208955223,10.0
polynomial,2,10,0.5,0.648,0.3194444444444444,0.3709677419354839,0.34328358208955223,10.0
polynomial,2,5,0.5,0.648,0.3194444444444444,0.3709677419354839,0.34328358208955223,10.0
polynomial,2,10,0.1,0.648,0.3194444444444444,0.3709677419354839,0.34328358208955223,10.0
Linear,1,5,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,0.1
Linear,1,10,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,0.1
Linear,1,5,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,1.0
Linear,1,10,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,1.0
Linear,1,5,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,1.0
Linear,1,10,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,1.0
Linear,1,5,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,1.0
Linear,1,5,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,0.1
Linear,1,10,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,0.1
Linear,1,5,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,0.1
Linear,1,5,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,0.1
Linear,1,10,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,0.1
Linear,1,10,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,1.0
Linear,1,10,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,0.1
Linear,1,5,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,1.0
Linear,1,5,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,100.0
Linear,1,10,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,1.0
Linear,1,5,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,100.0
Linear,1,10,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,10.0
Linear,1,5,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,10.0
Linear,1,10,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,10.0
Linear,1,5,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,10.0
Linear,1,10,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,100.0
Linear,1,5,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,100.0
Linear,1,10,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,100.0
Linear,1,10,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,100.0
Linear,1,5,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,100.0
Linear,1,10,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,100.0
Linear,1,10,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,10.0
Linear,1,5,0.5,0.784,0.7,0.22580645161290322,0.34146341463414637,10.0
Linear,1,10,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,10.0
Linear,1,5,0.1,0.784,0.7,0.22580645161290322,0.34146341463414637,10.0
rbf,1,10,0.1,0.736,0.4473684210526316,0.27419354838709675,0.34,1.0
rbf,1,5,0.1,0.736,0.4473684210526316,0.27419354838709675,0.34,1.0
